start_idx,end_idx,avg_power,duration_sec,energy_kwh,cluster,appliance
30360,30365,2800.6466666666674,60.0,0.05837991649074075,0,AC
30375,30380,2783.226666666667,60.912,0.05698865080555557,0,AC
30380,30385,2846.973333333334,62.562,0.06122974251851852,0,AC
30385,30390,2677.9800000000005,327.616,0.1978808930740741,0,AC
30390,30395,225.40666666666698,60.007,0.016612807333333344,0,AC
30395,30475,38.73708333333364,1426.474,0.015760555851851973,0,AC
30475,30555,8.121250000000291,1564.691,0.003751189379629732,0,AC
30565,30580,2777.053333333334,331.272,0.2679876777407408,0,AC
30585,30590,1706.1733333333336,60.186,0.03565666386111112,0,AC
30590,30595,2866.2933333333335,61.053,0.06038324577777778,0,AC
30600,30645,160.41481481481512,44119.57,2.112393172870374,2,FRIDGE
30645,30665,179.38333333333364,285.312,0.015004777314814841,0,AC
30665,30670,120.81333333333365,74.851,0.002777554009259267,0,AC
30670,30690,10.028333333333606,331.479,0.0009887140370370584,0,AC
30690,30755,40.77641025641056,1055.261,0.01222319487037046,0,AC
30755,30815,51.99111111111141,1280.354,0.019036934981481592,0,AC
30815,31000,9.57243243243272,3134.332,0.008362319018518772,0,AC
31000,31085,39.95137254901992,1564.282,0.017109004240740872,0,AC
31085,31245,9.756250000000287,2398.978,0.0065221922129631545,0,AC
31245,31345,41.34700000000028,1489.625,0.01727780935185197,0,AC
31345,31505,10.179375000000302,2455.955,0.006973497064815023,0,AC
31505,31590,40.16588235294147,1408.423,0.015892114888889,0,AC
31590,31750,9.387291666666957,2409.061,0.006324925842592788,0,AC
31750,31850,37.93100000000031,1501.485,0.015896133777777908,0,AC
31850,32000,9.450666666666951,2422.34,0.006356006055555744,0,AC
32000,32080,41.12458333333363,1415.345,0.01609159212037049,0,AC
32080,32240,9.440416666666966,2525.535,0.006646202333333544,0,AC
32240,32325,41.44588235294145,1406.081,0.016380426981481594,0,AC
32325,32480,9.279354838709967,2736.412,0.006887795175926149,0,AC
32480,32565,38.54039215686304,1453.476,0.0152949940277779,0,AC
32565,32745,8.854444444444725,3004.132,0.007654091879629871,0,AC
32745,32835,39.41518518518548,1559.192,0.01706265414814828,0,AC
32835,32995,7.839791666666953,2736.992,0.00611269262962985,0,AC
32995,33000,544.3333333333336,157.904,0.011480797157407421,0,AC
33000,33005,275.00666666666694,60.017,0.006703415407407413,0,AC
33005,33030,8.28400000000029,349.457,0.0008597062129629933,0,AC
33030,33115,38.42666666666695,1590.178,0.01683282599074087,0,AC
33115,33230,9.277391304348116,2488.656,0.007283952509259465,0,AC
33230,33235,98.3200000000003,383.481,0.011693184435185218,0,AC
33235,33265,158.1800000000003,508.01,0.022929762472222264,0,AC
33265,33270,34.8400000000003,63.766,0.0007157989629629695,0,AC
33270,33290,4.848333333333605,317.649,0.0005169781203703956,0,AC
33290,33330,34.625000000000306,603.69,0.005974217379629682,0,AC
33330,33365,45.6752380952384,600.812,0.007662637898148201,0,AC
33370,33380,3041.1933333333336,134.863,0.12658768674999998,0,AC
33380,33390,2953.7733333333335,194.952,0.2723145830740741,0,AC
33390,33395,3000.1800000000003,119.737,0.12053716105555556,0,AC
33400,33405,2414.526666666667,61.046,0.046488441259259265,0,AC
33405,33410,3059.846666666667,62.341,0.06595513486111113,0,AC
33410,33415,1873.8266666666666,60.815,0.03828714655555557,0,AC
33415,33440,42.75733333333365,477.398,0.005297486416666708,0,AC
33440,33630,9.290000000000292,3116.312,0.008063885944444696,0,AC
33630,33730,38.7400000000003,1669.147,0.017991645935185322,0,AC
33730,33855,10.276800000000282,5154.442,0.02486391960185228,0,AC
33855,33870,56.417777777778085,295.038,0.004345038148148173,0,AC
33870,33950,9.496666666666954,2830.255,0.007387786638889088,0,AC
